   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	   RESP
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	  (bpm)	   (mV)
          0.000	 -0.042	  0.007	  2.503	 11.149	 84.000	 10.948
          0.001	 -0.042	  0.019	  2.503	 11.149	 84.000	 10.948
          0.001	 -0.042	  0.002	  2.503	 11.149	 84.000	 10.948
          0.002	 -0.042	  0.030	  2.503	 11.149	 84.000	 10.948
          0.002	 -0.038	  0.011	  2.503	 11.149	 84.000	 10.948
          0.003	 -0.038	 -0.005	  2.503	 11.149	 84.000	 10.948
          0.003	 -0.038	 -0.019	  2.503	 11.149	 84.000	 10.948
          0.004	 -0.038	 -0.031	  2.503	 11.149	 84.000	 10.948
          0.004	 -0.032	 -0.035	  2.503	 11.149	 84.000	 10.948
          0.005	 -0.032	 -0.029	  2.503	 11.149	 84.000	 10.948
          0.005	 -0.032	 -0.021	  2.503	 11.149	 84.000	 10.948
          0.006	 -0.032	 -0.009	  2.503	 11.149	 84.000	 10.948
          0.006	 -0.034	  0.002	  2.503	 11.149	 84.000	 10.948
          0.007	 -0.034	  0.002	  2.503	 11.149	 84.000	 10.948
          0.007	 -0.034	 -0.007	  2.503	 11.149	 84.000	 10.948
          0.008	 -0.034	 -0.011	  2.503	 11.149	 84.000	 10.948
          0.008	 -0.031	 -0.011	  2.503	 11.149	 84.000	 10.948
          0.009	 -0.031	 -0.009	  2.503	 11.149	 84.000	 10.948
          0.009	 -0.031	 -0.006	  2.503	 11.149	 84.000	 10.948
          0.010	 -0.031	 -0.006	  2.503	 11.149	 84.000	 10.948
          0.010	 -0.026	 -0.002	  2.503	 11.149	 84.000	 10.948
          0.011	 -0.026	  0.001	  2.503	 11.149	 84.000	 10.948
          0.011	 -0.026	 -0.002	  2.503	 11.149	 84.000	 10.948
          0.012	 -0.026	 -0.003	  2.503	 11.149	 84.000	 10.948
          0.012	 -0.022	 -0.105	  2.503	 11.149	 84.000	 10.948
          0.013	 -0.022	 -0.009	  2.503	 11.149	 84.000	 10.948
          0.013	 -0.022	 -0.017	  2.503	 11.149	 84.000	 10.948
          0.014	 -0.022	 -0.017	  2.503	 11.149	 84.000	 10.948
          0.014	 -0.028	 -0.013	  2.503	 11.149	 84.000	 10.948
          0.015	 -0.028	 -0.011	  2.503	 11.149	 84.000	 10.948
          0.015	 -0.028	 -0.012	  2.503	 11.149	 84.000	 10.948
          0.016	 -0.028	 -0.014	  2.503	 11.149	 84.000	 10.948
          0.016	 -0.044	 -0.012	  2.503	 11.149	 84.000	 10.948
          0.017	 -0.044	 -0.009	  2.503	 11.149	 84.000	 10.948
          0.017	 -0.044	 -0.013	  2.503	 11.149	 84.000	 10.948
          0.018	 -0.044	 -0.105	  2.503	 11.149	 84.000	 10.948
          0.018	 -0.034	 -0.027	  2.503	 11.149	 84.000	 10.948
          0.019	 -0.034	 -0.024	  2.503	 11.149	 84.000	 10.948
          0.019	 -0.034	 -0.024	  2.503	 11.149	 84.000	 10.948
          0.020	 -0.034	 -0.030	  2.503	 11.149	 84.000	 10.948
          0.020	 -0.028	 -0.037	  2.503	 11.149	 84.000	 10.948
          0.021	 -0.028	 -0.044	  2.503	 11.149	 84.000	 10.948
          0.021	 -0.028	 -0.046	  2.503	 11.149	 84.000	 10.948
          0.022	 -0.028	 -0.037	  2.503	 11.149	 84.000	 10.948
          0.022	 -0.035	 -0.018	  2.503	 11.149	 84.000	 10.948
          0.023	 -0.035	 -0.005	  2.503	 11.149	 84.000	 10.948
          0.023	 -0.035	 -0.105	  2.503	 11.149	 84.000	 10.948
          0.024	 -0.035	  0.000	  2.503	 11.149	 84.000	 10.948
          0.024	 -0.048	 -0.004	  2.503	 11.149	 84.000	 10.948
          0.025	 -0.048	 -0.012	  2.503	 11.149	 84.000	 10.948
          0.025	 -0.048	 -0.018	  2.503	 11.149	 84.000	 10.948
          0.026	 -0.048	 -0.018	  2.503	 11.149	 84.000	 10.948
          0.026	 -0.043	 -0.017	  2.503	 11.149	 84.000	 10.948
          0.027	 -0.043	 -0.023	  2.503	 11.149	 84.000	 10.948
          0.027	 -0.043	 -0.030	  2.503	 11.149	 84.000	 10.948
          0.028	 -0.043	 -0.028	  2.503	 11.149	 84.000	 10.948
          0.028	 -0.029	 -0.014	  2.503	 11.149	 84.000	 10.948
          0.029	 -0.029	  0.002	  2.503	 11.149	 84.000	 10.948
          0.029	 -0.029	  0.018	  2.503	 11.149	 84.000	 10.948
          0.030	 -0.029	  0.030	  2.503	 11.149	 84.000	 10.948
          0.030	 -0.028	  0.038	  2.503	 11.149	 84.000	 10.948
          0.031	 -0.028	  0.039	  2.503	 11.149	 84.000	 10.948
          0.031	 -0.028	  0.044	  2.503	 11.149	 84.000	 10.948
          0.032	 -0.028	  0.052	  2.503	 11.149	 84.000	 10.948
          0.032	 -0.029	  0.062	  2.506	 11.144	 84.000	 10.948
          0.033	 -0.029	  0.066	  2.506	 11.144	 84.000	 10.948
          0.033	 -0.029	  0.056	  2.506	 11.144	 84.000	 10.948
          0.034	 -0.029	  0.040	  2.506	 11.144	 84.000	 10.948
          0.034	 -0.023	  0.002	  2.506	 11.144	 84.000	 10.948
          0.035	 -0.023	  0.010	  2.506	 11.144	 84.000	 10.948
          0.035	 -0.023	 -0.006	  2.506	 11.144	 84.000	 10.948
          0.036	 -0.023	 -0.023	  2.506	 11.144	 84.000	 10.948
          0.036	 -0.026	 -0.028	  2.506	 11.144	 84.000	 10.948
          0.037	 -0.026	 -0.025	  2.506	 11.144	 84.000	 10.948
          0.037	 -0.026	 -0.020	  2.506	 11.144	 84.000	 10.948
          0.038	 -0.026	 -0.008	  2.506	 11.144	 84.000	 10.948
          0.038	 -0.035	  0.002	  2.506	 11.144	 84.000	 10.948
          0.039	 -0.035	  0.008	  2.506	 11.144	 84.000	 10.948
          0.039	 -0.035	  0.011	  2.506	 11.144	 84.000	 10.948
          0.040	 -0.035	  0.002	  2.506	 11.144	 84.000	 10.948
          0.040	 -0.026	 -0.002	  2.506	 11.144	 84.000	 10.948
          0.041	 -0.026	 -0.002	  2.506	 11.144	 84.000	 10.948
          0.041	 -0.026	 -0.002	  2.506	 11.144	 84.000	 10.948
          0.042	 -0.026	 -0.007	  2.506	 11.144	 84.000	 10.948
          0.042	 -0.034	 -0.016	  2.506	 11.144	 84.000	 10.948
          0.043	 -0.034	 -0.019	  2.506	 11.144	 84.000	 10.948
          0.043	 -0.034	 -0.007	  2.506	 11.144	 84.000	 10.948
          0.044	 -0.034	  0.007	  2.506	 11.144	 84.000	 10.948
          0.044	 -0.026	  0.016	  2.506	 11.144	 84.000	 10.948
          0.045	 -0.026	  0.023	  2.506	 11.144	 84.000	 10.948
          0.045	 -0.026	  0.002	  2.506	 11.144	 84.000	 10.948
          0.046	 -0.026	  0.021	  2.506	 11.144	 84.000	 10.948
          0.046	 -0.028	  0.018	  2.506	 11.144	 84.000	 10.948
          0.047	 -0.028	  0.019	  2.506	 11.144	 84.000	 10.948
          0.047	 -0.028	  0.025	  2.506	 11.144	 84.000	 10.948
          0.048	 -0.028	  0.025	  2.506	 11.144	 84.000	 10.948
          0.048	 -0.035	  0.013	  2.506	 11.144	 84.000	 10.948
          0.049	 -0.035	  0.001	  2.506	 11.144	 84.000	 10.948
          0.049	 -0.035	 -0.005	  2.506	 11.144	 84.000	 10.948
          0.050	 -0.035	 -0.014	  2.506	 11.144	 84.000	 10.948
          0.050	 -0.015	 -0.025	  2.506	 11.144	 84.000	 10.948
          0.051	 -0.015	 -0.105	  2.506	 11.144	 84.000	 10.948
          0.051	 -0.015	 -0.044	  2.506	 11.144	 84.000	 10.948
          0.052	 -0.015	 -0.046	  2.506	 11.144	 84.000	 10.948
          0.052	 -0.028	 -0.041	  2.506	 11.144	 84.000	 10.948
          0.053	 -0.028	 -0.039	  2.506	 11.144	 84.000	 10.948
          0.053	 -0.028	 -0.039	  2.506	 11.144	 84.000	 10.948
          0.054	 -0.028	 -0.034	  2.506	 11.144	 84.000	 10.948
          0.054	 -0.028	 -0.018	  2.506	 11.144	 84.000	 10.948
          0.055	 -0.028	  0.002	  2.506	 11.144	 84.000	 10.948
          0.055	 -0.028	  0.011	  2.506	 11.144	 84.000	 10.948
          0.056	 -0.028	  0.013	  2.506	 11.144	 84.000	 10.948
          0.056	 -0.037	  0.002	  2.506	 11.144	 84.000	 10.948
          0.057	 -0.037	  0.026	  2.506	 11.144	 84.000	 10.948
          0.057	 -0.037	  0.027	  2.506	 11.144	 84.000	 10.948
          0.058	 -0.037	  0.022	  2.506	 11.144	 84.000	 10.948
          0.058	 -0.031	  0.016	  2.506	 11.144	 84.000	 10.948
          0.059	 -0.031	  0.012	  2.506	 11.144	 84.000	 10.948
          0.059	 -0.031	  0.011	  2.506	 11.144	 84.000	 10.948
          0.060	 -0.031	  0.009	  2.506	 11.144	 84.000	 10.948
          0.060	 -0.026	  0.003	  2.506	 11.144	 84.000	 10.948
          0.061	 -0.026	 -0.001	  2.506	 11.144	 84.000	 10.948
          0.061	 -0.026	 -0.003	  2.506	 11.144	 84.000	 10.948
          0.062	 -0.026	 -0.105	  2.506	 11.144	 84.000	 10.948
          0.062	 -0.018	 -0.007	  2.506	 11.144	 84.000	 10.948
          0.063	 -0.018	 -0.006	  2.506	 11.144	 84.000	 10.948
          0.064	 -0.018	 -0.004	  2.506	 11.144	 84.000	 10.948
          0.064	 -0.018	 -0.004	  2.506	 11.144	 84.000	 10.948
          0.065	 -0.024	 -0.002	  2.511	 11.139	 84.000	 10.958
          0.065	 -0.024	  0.001	  2.511	 11.139	 84.000	 10.958
          0.066	 -0.024	  0.006	  2.511	 11.139	 84.000	 10.958
          0.066	 -0.024	  0.011	  2.511	 11.139	 84.000	 10.958
          0.067	 -0.033	  0.012	  2.511	 11.139	 84.000	 10.958
          0.067	 -0.033	  0.010	  2.511	 11.139	 84.000	 10.958
          0.068	 -0.033	  0.001	  2.511	 11.139	 84.000	 10.958
          0.068	 -0.033	  0.005	  2.511	 11.139	 84.000	 10.958
          0.069	 -0.024	  0.001	  2.511	 11.139	 84.000	 10.958
          0.069	 -0.024	 -0.003	  2.511	 11.139	 84.000	 10.958
          0.070	 -0.024	 -0.004	  2.511	 11.139	 84.000	 10.958
          0.070	 -0.024	 -0.001	  2.511	 11.139	 84.000	 10.958
          0.071	 -0.026	 -0.002	  2.511	 11.139	 84.000	 10.958
          0.071	 -0.026	 -0.007	  2.511	 11.139	 84.000	 10.958
          0.072	 -0.026	 -0.009	  2.511	 11.139	 84.000	 10.958
          0.072	 -0.026	 -0.001	  2.511	 11.139	 84.000	 10.958
          0.073	 -0.029	  0.008	  2.511	 11.139	 84.000	 10.958
          0.073	 -0.029	  0.002	  2.511	 11.139	 84.000	 10.958
          0.074	 -0.029	  0.011	  2.511	 11.139	 84.000	 10.958
          0.074	 -0.029	  0.007	  2.511	 11.139	 84.000	 10.958
          0.075	 -0.023	  0.005	  2.511	 11.139	 84.000	 10.958
          0.075	 -0.023	  0.006	  2.511	 11.139	 84.000	 10.958
          0.076	 -0.023	  0.010	  2.511	 11.139	 84.000	 10.958
          0.076	 -0.023	  0.014	  2.511	 11.139	 84.000	 10.958
          0.077	 -0.034	  0.013	  2.511	 11.139	 84.000	 10.958
          0.077	 -0.034	  0.010	  2.511	 11.139	 84.000	 10.958
          0.078	 -0.034	  0.010	  2.511	 11.139	 84.000	 10.958
          0.078	 -0.034	  0.010	  2.511	 11.139	 84.000	 10.958
          0.079	 -0.029	  0.002	  2.511	 11.139	 84.000	 10.958
          0.079	 -0.029	 -0.006	  2.511	 11.139	 84.000	 10.958
          0.080	 -0.029	 -0.006	  2.511	 11.139	 84.000	 10.958
          0.080	 -0.029	 -0.001	  2.511	 11.139	 84.000	 10.958
