   Elapsed time	    ECG	    EMG	oot GSR	and GSR	     HR	   RESP
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	  (bpm)	   (mV)
          0.000	 -0.030	 -0.007	  2.504	 11.146	 84.000	 10.948
          0.065	 -0.026	 -0.003	  2.512	 11.136	 84.000	 10.958
          0.129	 -0.016	  0.002	  2.514	 11.127	 84.000	 10.982
          0.194	 -0.020	 -0.003	  2.519	 11.116	 84.000	 11.002
          0.258	 -0.395	 -0.002	  2.522	 11.101	 84.000	 11.026
          0.323	  0.007	 -0.011	  2.524	 11.086	 84.000	 11.064
          0.387	  0.059	 -0.009	  2.527	 11.073	 84.000	 11.090
          0.452	  0.047	 -0.002	  2.531	 11.057	 84.000	 11.118
          0.516	 -0.025	 -0.006	  2.529	 10.999	 84.000	 11.144
          0.581	  0.000	 -0.003	  2.528	 10.984	 60.000	 11.162
          0.645	  0.008	 -0.002	  2.527	 10.966	 60.000	 11.174
          0.710	  0.019	 -0.002	  2.524	 10.949	 60.000	 11.192
          0.774	 -0.371	  0.000	  2.523	 10.931	 60.000	 11.222
          0.839	  0.054	 -0.013	  2.522	 10.914	 60.000	 11.250
          0.903	  0.058	 -0.004	  2.521	 10.896	 60.000	 11.254
          0.968	  0.031	  0.000	  2.517	 10.878	 60.000	 11.212
          1.032	  0.011	 -0.017	  2.516	 10.862	 60.000	 10.964
          1.097	  0.016	 -0.010	  2.513	 10.847	 60.000	 10.970
          1.161	  0.010	 -0.009	  2.511	 10.832	 60.000	 10.978
          1.226	  0.004	  0.000	  2.503	 10.800	 60.000	 11.008
          1.290	  0.002	  0.009	  2.501	 10.785	 60.000	 11.034
          1.355	 -0.334	  0.007	  2.498	 10.769	 60.000	 11.058
          1.419	  0.004	 -0.008	  2.494	 10.754	 44.000	 11.062
          1.484	  0.094	 -0.009	  2.489	 10.740	 44.000	 11.066
          1.548	  0.113	 -0.017	  2.484	 10.729	 44.000	 11.076
          1.613	  0.071	 -0.010	  2.480	 10.715	 44.000	 11.078
          1.677	  0.139	 -0.008	  2.475	 10.704	 44.000	 11.058
          1.742	  0.191	 -0.003	  2.472	 10.691	 44.000	 11.036
          1.806	  0.195	 -0.004	  2.471	 10.678	 44.000	 11.008
          1.871	  0.140	 -0.005	  2.469	 10.667	 44.000	 10.978
          1.935	  0.150	  0.002	  2.465	 10.656	 44.000	 10.956
          2.000	 -0.171	 -0.013	  2.461	 10.644	 44.000	 10.938
          2.065	  0.135	 -0.009	  2.457	 10.634	 44.000	 10.946
          2.129	  0.174	 -0.007	  2.452	 10.624	 44.000	 10.942
          2.194	  0.177	 -0.001	  2.446	 10.609	 44.000	 10.930
          2.258	  0.126	 -0.007	  2.442	 10.603	 44.000	 10.890
          2.323	  0.136	 -0.004	  2.439	 10.598	 44.000	 10.838
          2.387	  0.133	 -0.003	  2.435	 10.596	 44.000	 10.780
          2.452	  0.130	 -0.003	  2.431	 10.594	 44.000	 10.642
          2.516	  0.120	 -0.008	  2.430	 10.593	 44.000	 10.598
          2.581	 -0.243	  0.002	  2.426	 10.594	 44.000	 10.546
          2.645	  0.159	 -0.006	  2.424	 10.595	 44.000	 10.524
          2.710	  0.202	 -0.011	  2.421	 10.598	 44.000	 10.526
          2.774	  0.211	 -0.004	  2.419	 10.601	 44.000	 10.544
          2.839	  0.130	 -0.004	  2.416	 10.605	 44.000	 10.570
          2.903	  0.135	 -0.006	  2.414	 10.608	 44.000	 10.614
          2.968	  0.127	 -0.011	  2.411	 10.613	 44.000	 10.670
          3.032	  0.108	 -0.004	  2.410	 10.616	 44.000	 10.726
          3.097	  0.104	 -0.006	  2.409	 10.620	 44.000	 10.764
          3.161	  0.098	 -0.000	  2.406	 10.621	 44.000	 10.816
          3.226	 -0.048	  0.002	  2.404	 10.623	 44.000	 10.892
          3.290	 -0.150	 -0.012	  2.401	 10.625	 44.000	 10.960
          3.355	  0.161	 -0.003	  2.401	 10.625	 44.000	 10.998
          3.419	  0.171	 -0.002	  2.400	 10.625	 44.000	 11.008
          3.484	  0.101	 -0.011	  2.399	 10.625	 44.000	 11.032
          3.548	  0.106	 -0.017	  2.397	 10.625	 44.000	 11.088
          3.613	  0.120	  0.008	  2.396	 10.626	 44.000	 11.164
          3.677	  0.085	 -0.011	  2.396	 10.625	 44.000	 11.242
          3.742	  0.062	 -0.010	  2.392	 10.627	 44.000	 11.328
          3.806	  0.052	 -0.005	  2.391	 10.630	 44.000	 11.394
          3.871	  0.077	 -0.002	  2.391	 10.626	 44.000	 11.442
          3.935	 -0.324	 -0.001	  2.391	 10.623	 44.000	 11.464
          4.000	  0.121	 -0.010	  2.391	 10.621	 88.000	 11.462
          4.065	  0.100	 -0.002	  2.390	 10.618	 88.000	 11.462
          4.129	  0.069	 -0.001	  2.388	 10.618	 88.000	 11.450
          4.194	  0.044	  0.002	  2.385	 10.615	 88.000	 11.422
          4.258	  0.015	 -0.004	  2.384	 10.615	 88.000	 11.372
          4.323	  0.025	 -0.006	  2.382	 10.611	 88.000	 11.312
          4.387	  0.100	  0.006	  2.382	 10.608	 88.000	  0.000
          4.452	  0.057	 -0.005	  2.380	 10.603	 88.000	  0.000
          4.516	 -0.115	  0.007	  2.378	 10.600	 88.000	 11.146
          4.581	 -0.164	 -0.005	  2.377	 10.598	 88.000	 11.120
