   Elapsed time	   RESP	  ECG I	  ECG V	 ECG II	  PLETH	    ABP
      (seconds)	   (pm)	   (mV)	   (mV)	   (mV)	    (?)	 (mmHg)
          0.000	  0.266	 -0.350	  0.665	  0.135	  0.475	146.871
          0.008	  0.267	 -0.365	  0.655	  0.119	  0.475	147.262
          0.016	  0.267	 -0.350	  0.665	  0.145	  0.475	147.458
          0.024	  0.266	 -0.554	  0.586	  0.000	  0.475	147.653
          0.032	  0.265	 -0.690	  0.586	  0.000	  0.474	147.458
          0.040	  0.263	 -0.714	  0.596	  0.000	  0.472	147.458
          0.048	  0.262	 -0.695	  0.574	  0.000	  0.470	147.067
          0.056	  0.261	 -0.749	  0.559	  0.000	  0.468	146.675
          0.064	  0.260	 -0.690	  0.601	  0.000	  0.466	146.284
          0.072	  0.259	 -0.700	  0.574	  0.000	  0.464	145.698
          0.080	  0.257	 -0.655	  0.616	  0.000	  0.463	145.111
          0.088	  0.256	 -0.554	  0.645	  0.000	  0.463	144.329
          0.096	  0.254	 -0.461	  0.749	  0.124	  0.463	143.546
          0.104	  0.253	 -0.296	  0.899	  0.259	  0.464	142.764
          0.112	  0.252	  0.044	  0.446	  0.405	  0.466	141.982
          0.120	  0.250	  0.530	 -0.244	  0.465	  0.469	141.200
          0.128	  0.249	  0.695	 -0.470	  0.495	  0.473	140.417
          0.136	  0.249	  0.005	  0.140	  0.320	  0.477	139.635
          0.144	  0.248	 -0.219	  0.559	  0.315	  0.481	139.048
          0.152	  0.247	 -0.286	  0.756	  0.335	  0.485	138.266
          0.160	  0.247	 -0.185	  0.865	  0.375	  0.489	137.679
          0.168	  0.247	 -0.155	  0.894	  0.435	  0.493	136.897
          0.176	  0.247	 -0.135	  0.919	  0.485	  0.498	136.310
          0.184	  0.247	 -0.140	  0.926	  0.450	  0.501	135.528
          0.192	  0.247	 -0.079	  0.904	  0.515	  0.504	134.941
          0.200	  0.248	 -0.096	  0.889	  0.515	  0.506	134.159
          0.208	  0.249	 -0.049	  0.926	  0.550	  0.507	133.377
          0.216	  0.249	 -0.015	  0.904	  0.590	  0.509	132.790
          0.224	  0.249	  0.086	  0.985	  0.645	  0.511	132.008
          0.232	  0.250	  0.135	  1.005	  0.690	  0.514	131.421
          0.240	  0.250	  0.096	  0.995	  0.640	  0.516	130.835
          0.248	  0.250	  0.069	  0.966	  0.635	  0.518	130.052
          0.256	  0.250	  0.059	  0.995	  0.620	  0.520	129.466
          0.264	  0.251	  0.096	  1.000	  0.660	  0.521	128.879
          0.272	  0.250	  0.140	  1.034	  0.701	  0.521	128.292
          0.280	  0.250	  0.170	  1.039	  0.741	  0.520	127.705
          0.288	  0.249	  0.150	  1.054	  0.720	  0.518	127.119
          0.296	  0.248	  0.190	  1.064	  0.775	  0.516	126.336
          0.304	  0.248	  0.180	  1.039	  0.755	  0.514	125.750
          0.312	  0.247	  0.185	  1.059	  0.770	  0.512	125.359
          0.320	  0.246	  0.165	  1.020	  0.730	  0.510	124.967
          0.328	  0.246	  0.195	  1.025	  0.735	  0.508	125.163
          0.336	  0.244	  0.074	  0.951	  0.615	  0.506	125.554
          0.344	  0.243	 -0.064	  0.884	  0.465	  0.505	126.728
          0.352	  0.241	 -0.175	  0.830	  0.380	  0.504	128.292
          0.360	  0.239	 -0.140	  0.830	  0.415	  0.504	130.052
          0.368	  0.238	 -0.209	  0.805	  0.355	  0.504	131.812
          0.376	  0.236	 -0.239	  0.771	  0.320	  0.504	133.572
          0.384	  0.233	 -0.345	  0.714	  0.225	  0.503	135.137
          0.392	  0.231	 -0.365	  0.719	  0.190	  0.502	136.506
          0.400	  0.229	 -0.389	  0.695	  0.190	  0.500	137.875
          0.408	  0.227	 -0.365	  0.744	  0.190	  0.499	139.048
          0.416	  0.225	 -0.360	  0.709	  0.145	  0.496	140.026
          0.424	  0.224	 -0.399	  0.739	  0.129	  0.494	141.004
          0.432	  0.222	 -0.379	  0.749	  0.175	  0.492	141.982
          0.440	  0.221	 -0.394	  0.734	  0.164	  0.491	142.764
          0.448	  0.220	 -0.369	  0.739	  0.185	  0.489	143.546
          0.456	  0.219	 -0.384	  0.729	  0.175	  0.487	144.329
          0.464	  0.218	 -0.325	  0.766	  0.240	  0.485	145.111
          0.472	  0.217	 -0.286	  0.744	  0.280	  0.483	145.698
          0.480	  0.215	 -0.214	  0.796	  0.325	  0.481	146.480
          0.488	  0.214	 -0.234	  0.810	  0.305	  0.480	147.067
          0.496	  0.213	 -0.145	  0.815	  0.350	  0.479	147.653
          0.504	  0.212	 -0.059	  0.786	  0.435	  0.479	148.044
          0.512	  0.210	 -0.034	  0.776	  0.475	  0.479	148.436
          0.520	  0.209	 -0.044	  0.719	  0.445	  0.479	148.827
          0.528	  0.208	  0.000	  0.714	  0.525	  0.479	149.022
          0.536	  0.207	 -0.054	  0.776	  0.470	  0.478	149.022
          0.544	  0.207	 -0.069	  0.766	  0.460	  0.475	148.827
          0.552	  0.206	 -0.126	  0.791	  0.420	  0.472	148.436
          0.560	  0.207	 -0.044	  0.835	  0.505	  0.468	148.044
          0.568	  0.208	 -0.069	  0.805	  0.490	  0.465	147.458
          0.576	  0.210	 -0.030	  0.830	  0.560	  0.463	146.871
          0.584	  0.212	 -0.059	  0.805	  0.520	  0.462	146.089
          0.592	  0.215	 -0.010	  0.810	  0.560	  0.461	145.111
          0.600	  0.219	  0.005	  0.791	  0.575	  0.461	144.133
          0.608	  0.223	  0.030	  0.869	  0.550	  0.463	142.960
          0.616	  0.227	  0.020	  1.049	  0.640	  0.466	141.982
          0.624	  0.230	  0.286	  0.825	  0.741	  0.469	141.004
          0.632	  0.233	  0.700	  0.126	  0.860	  0.473	140.026
          0.640	  0.236	  0.956	 -0.281	  0.881	  0.477	139.048
          0.648	  0.238	  0.441	  0.126	  0.685	  0.482	138.266
          0.656	  0.239	  0.180	  0.631	  0.635	  0.486	137.288
          0.664	  0.240	  0.054	  0.830	  0.600	  0.490	136.506
          0.672	  0.240	  0.025	  0.904	  0.580	  0.494	135.724
          0.680	  0.241	  0.054	  0.931	  0.625	  0.498	134.941
          0.688	  0.241	  0.034	  0.914	  0.640	  0.501	134.355
          0.696	  0.241	  0.049	  0.956	  0.650	  0.504	133.572
          0.704	  0.242	  0.064	  0.941	  0.656	  0.506	132.790
          0.712	  0.242	  0.079	  0.975	  0.675	  0.507	132.008
          0.720	  0.243	  0.069	  0.931	  0.701	  0.509	131.226
          0.728	  0.244	  0.106	  0.941	  0.705	  0.511	130.443
          0.736	  0.245	  0.096	  0.946	  0.635	  0.513	129.857
          0.744	  0.246	  0.131	  0.941	  0.685	  0.515	128.879
          0.752	  0.247	  0.126	  0.966	  0.680	  0.516	128.292
          0.760	  0.248	  0.160	  0.956	  0.715	  0.516	127.510
          0.768	  0.248	  0.126	  0.946	  0.695	  0.516	126.728
          0.776	  0.249	  0.175	  0.995	  0.735	  0.516	125.945
          0.784	  0.249	  0.131	  0.951	  0.701	  0.515	125.359
          0.792	  0.249	  0.150	  0.946	  0.685	  0.514	124.576
          0.800	  0.248	  0.170	  0.985	  0.735	  0.514	123.990
          0.808	  0.247	  0.185	  1.030	  0.725	  0.513	123.403
          0.816	  0.244	  0.126	  0.975	  0.701	  0.512	122.816
          0.824	  0.242	  0.145	  0.961	  0.680	  0.510	122.425
          0.832	  0.239	  0.086	  0.966	  0.620	  0.508	121.838
          0.840	  0.235	  0.106	  0.926	  0.670	  0.506	121.643
          0.848	  0.231	  0.091	  0.931	  0.656	  0.505	121.838
          0.856	  0.228	  0.116	  0.899	  0.685	  0.504	122.621
          0.864	  0.224	  0.131	  0.855	  0.690	  0.503	123.794
          0.872	  0.221	  0.079	  0.845	  0.620	  0.502	125.554
          0.880	  0.218	  0.086	  0.835	  0.605	  0.501	127.314
          0.888	  0.214	  0.069	  0.845	  0.590	  0.500	129.074
          0.896	  0.211	  0.086	  0.850	  0.615	  0.499	130.835
          0.904	  0.207	  0.059	  0.830	  0.635	  0.498	132.399
          0.912	  0.202	  0.116	  0.820	  0.670	  0.496	133.768
          0.920	  0.198	  0.049	  0.810	  0.580	  0.494	134.941
          0.928	  0.193	  0.044	  0.830	  0.565	  0.493	136.115
          0.936	  0.188	  0.000	  0.810	  0.560	  0.492	137.093
          0.944	  0.182	  0.005	  0.791	  0.550	  0.490	138.070
          0.952	  0.177	 -0.030	  0.766	  0.535	  0.488	139.048
          0.960	  0.171	  0.020	  0.805	  0.590	  0.486	139.831
          0.968	  0.166	 -0.015	  0.791	  0.560	  0.485	140.613
          0.976	  0.161	  0.025	  0.845	  0.570	  0.483	141.395
          0.984	  0.156	  0.005	  0.835	  0.525	  0.482	142.177
          0.992	  0.152	  0.025	  0.840	  0.565	  0.481	142.764
          1.000	  0.149	 -0.025	  0.781	  0.525	  0.481	143.351
          1.008	  0.147	  0.000	  0.796	  0.530	  0.481	143.938
          1.016	  0.145	  0.069	  0.786	  0.545	  0.481	144.524
          1.024	  0.146	  0.101	  0.776	  0.565	  0.480	144.915
          1.032	  0.146	  0.039	  0.714	  0.525	  0.479	145.306
          1.040	  0.151	  0.025	  0.704	  0.560	  0.477	145.502
          1.048	  0.155	 -0.044	  0.709	  0.480	  0.474	145.698
          1.056	  0.164	 -0.079	  0.734	  0.425	  0.472	145.698
          1.064	  0.172	 -0.126	  0.734	  0.440	  0.470	145.502
          1.072	  0.182	 -0.140	  0.749	  0.400	  0.469	145.306
          1.080	  0.192	 -0.116	  0.734	  0.445	  0.467	144.720
          1.088	  0.202	 -0.170	  0.709	  0.385	  0.466	144.329
          1.096	  0.213	 -0.195	  0.714	  0.405	  0.465	143.742
          1.104	  0.223	 -0.219	  0.665	  0.395	  0.463	142.960
          1.112	  0.233	 -0.180	  0.709	  0.405	  0.462	142.177
          1.120	  0.240	 -0.239	  0.734	  0.355	  0.461	141.395
          1.128	  0.249	 -0.165	  0.931	  0.405	  0.461	140.417
          1.136	  0.258	  0.049	  0.739	  0.480	  0.461	139.439
