X	Y1	Y2
  (seconds)	(val)	(val)
0	2	2
0.012	1.998776284	1.99841634
0.024	1.995108546	1.993669444
0.036	1.989007001	1.985771548
0.048	1.980488636	1.974743002
0.06	1.96957715	1.960612207
0.072	1.956302875	1.94341553
0.084	1.940702667	1.923197183
0.096	1.922819784	1.900009093
0.108	1.902703732	1.873910735
0.12	1.8804101	1.844968949
0.132	1.856000365	1.813257732
0.144	1.829541679	1.778858007
0.156	1.801106646	1.741857374
0.168	1.770773061	1.702349837
0.18	1.738623654	1.660435512
0.192	1.704745798	1.616220318
0.204	1.669231213	1.569815651
0.216	1.632175652	1.52133804
0.228	1.59367857	1.470908786
0.24	1.553842787	1.418653594
0.252	1.512774137	1.364702183
0.264	1.470581101	1.309187892
0.276	1.427374444	1.252247272
0.288	1.383266834	1.194019672
0.3	1.33837246	1.134646814
0.312	1.292806644	1.074272363
0.324	1.246685448	1.0130415
0.336	1.200125285	0.951100478
0.348	1.153242523	0.88859619
0.36	1.106153094	0.825675729
0.372	1.058972102	0.762485949
0.384	1.011813442	0.699173036
0.396	0.964789413	0.635882076
0.408	0.918010347	0.572756632
0.42	0.871584244	0.509938326
0.432	0.825616409	0.447566433
0.444	0.780209111	0.385777481
0.456	0.735461244	0.324704865
0.468	0.691468006	0.26447847
0.48	0.64832059	0.205224312
0.492	0.60610589	0.147064191
0.504	0.564906224	0.09011536
0.516	0.524799074	0.034490208
0.528	0.485856844	-0.019704029
0.54	0.448146634	-0.072365552
0.552	0.411730039	-0.123398252
0.564	0.376662965	-0.17271195
0.576	0.342995465	-0.220222609
0.588	0.310771599	-0.265852534
0.6	0.280029314	-0.309530536
0.612	0.250800349	-0.351192087
0.624	0.223110161	-0.390779443
0.636	0.196977874	-0.428241748
0.648	0.172416249	-0.463535106
0.66	0.149431682	-0.496622643
0.672	0.128024226	-0.527474533
0.684	0.108187624	-0.556068005
0.696	0.089909384	-0.582387326
0.708	0.073170861	-0.606423756
0.72	0.057947365	-0.62817549
0.732	0.044208301	-0.647647564
0.744	0.031917314	-0.664851747
0.756	0.021032468	-0.67980641
0.768	0.011506441	-0.692536369
0.78	0.003286734	-0.70307271
0.792	-0.00368409	-0.711452597
0.804	-0.00946816	-0.717719056
0.816	-0.014132026	-0.721920741
0.828	-0.017746379	-0.724111685
0.84	-0.02038575	-0.724351035
0.852	-0.0221282	-0.722702764
0.864	-0.023054993	-0.719235382
0.876	-0.023250262	-0.714021619
0.888	-0.022800661	-0.70713811
0.9	-0.02179501	-0.698665058
0.912	-0.020323935	-0.688685891
0.924	-0.018479491	-0.677286916
0.936	-0.016354799	-0.66455696
0.948	-0.014043657	-0.650587006
0.96	-0.011640166	-0.635469828
0.972	-0.009238351	-0.619299619
0.984	-0.006931775	-0.602171624
0.996	-0.004813165	-0.584181765
1.008	-0.002974034	-0.565426273
1.02	-0.001504315	-0.546001319
1.032	-0.000491993	-0.526002654
1.044	-2.27493E-05	-0.505525248
1.056	-0.000179615	-0.484662942
1.068	-0.001042632	-0.463508101
1.08	-0.002688526	-0.442151283
1.092	-0.005190392	-0.420680915
1.104	-0.008617396	-0.399182978
1.116	-0.013034484	-0.377740709
1.128	-0.018502117	-0.356434319
1.14	-0.025076016	-0.335340714
1.152	-0.032806923	-0.314533245
1.164	-0.041740388	-0.294081469
1.176	-0.051916568	-0.274050924
1.188	-0.063370051	-0.254502929
1.2	-0.076129695	-0.235494396
1.212	-0.090218499	-0.217077667
1.224	-0.105653481	-0.199300368
1.236	-0.122445592	-0.182205284
1.248	-0.140599645	-0.165830255
1.26	-0.160114265	-0.150208093
1.272	-0.180981871	-0.135366521
