   Elapsed time	   ECG1	   ECG2
      (seconds)	   (mV)	   (mV)
          0.000	 -0.149	  0.064
          0.002	 -0.147	  0.066
          0.004	 -0.146	  0.069
          0.006	 -0.146	  0.070
          0.008	 -0.147	  0.072
          0.010	 -0.147	  0.074
          0.012	 -0.146	  0.076
          0.014	 -0.145	  0.080
          0.016	 -0.143	  0.084
          0.018	 -0.141	  0.088
          0.020	 -0.140	  0.092
          0.022	 -0.139	  0.101
          0.024	 -0.139	  0.109
          0.026	 -0.136	  0.117
          0.028	 -0.132	  0.125
          0.030	 -0.131	  0.136
          0.032	 -0.130	  0.146
          0.034	 -0.127	  0.158
          0.036	 -0.122	  0.169
          0.038	 -0.122	  0.184
          0.040	 -0.122	  0.200
          0.042	 -0.119	  0.227
          0.044	 -0.117	  0.253
          0.046	 -0.113	  0.292
          0.048	 -0.108	  0.332
          0.050	 -0.102	  0.389
          0.052	 -0.095	  0.445
          0.054	 -0.085	  0.503
          0.056	 -0.075	  0.560
          0.058	 -0.065	  0.611
          0.060	 -0.055	  0.660
          0.062	 -0.043	  0.681
          0.064	 -0.032	  0.702
          0.066	 -0.014	  0.700
          0.068	  0.004	  0.699
          0.070	  0.032	  0.670
          0.072	  0.061	  0.643
          0.074	  0.103	  0.601
          0.076	  0.146	  0.558
          0.078	  0.204	  0.518
          0.080	  0.262	  0.478
          0.082	  0.322	  0.448
          0.084	  0.382	  0.417
          0.086	  0.427	  0.396
          0.088	  0.472	  0.374
          0.090	  0.495	  0.344
          0.092	  0.517	  0.315
          0.094	  0.513	  0.284
          0.096	  0.508	  0.254
          0.098	  0.484	  0.222
          0.100	  0.460	  0.190
          0.102	  0.410	  0.170
          0.104	  0.362	  0.150
          0.106	  0.320	  0.138
          0.108	  0.279	  0.125
          0.110	  0.247	  0.117
          0.112	  0.216	  0.110
          0.114	  0.192	  0.104
          0.116	  0.168	  0.100
          0.118	  0.135	  0.092
          0.120	  0.102	  0.085
          0.122	  0.069	  0.081
          0.124	  0.035	  0.076
          0.126	  0.007	  0.073
          0.128	 -0.021	  0.070
          0.130	 -0.044	  0.068
          0.132	 -0.068	  0.066
          0.134	 -0.080	  0.063
          0.136	 -0.092	  0.060
          0.138	 -0.099	  0.059
          0.140	 -0.105	  0.057
          0.142	 -0.111	  0.057
          0.144	 -0.117	  0.057
          0.146	 -0.120	  0.053
          0.148	 -0.124	  0.049
          0.150	 -0.130	  0.046
          0.152	 -0.136	  0.043
          0.154	 -0.139	  0.043
          0.156	 -0.142	  0.042
          0.158	 -0.145	  0.041
          0.160	 -0.149	  0.040
          0.162	 -0.151	  0.039
          0.164	 -0.153	  0.037
          0.166	 -0.155	  0.037
          0.168	 -0.157	  0.038
          0.170	 -0.159	  0.039
          0.172	 -0.161	  0.042
          0.174	 -0.162	  0.040
          0.176	 -0.163	  0.037
          0.178	 -0.164	  0.036
          0.180	 -0.165	  0.034
          0.182	 -0.165	  0.032
          0.184	 -0.165	  0.029
          0.186	 -0.166	  0.028
          0.188	 -0.167	  0.028
          0.190	 -0.167	  0.028
          0.192	 -0.167	  0.028
          0.194	 -0.167	  0.027
          0.196	 -0.168	  0.026
          0.198	 -0.170	  0.025
          0.200	 -0.172	  0.025
          0.202	 -0.171	  0.025
          0.204	 -0.171	  0.024
          0.206	 -0.172	  0.024
          0.208	 -0.174	  0.024
          0.210	 -0.174	  0.022
          0.212	 -0.175	  0.020
          0.214	 -0.177	  0.019
          0.216	 -0.178	  0.019
          0.218	 -0.176	  0.018
          0.220	 -0.173	  0.018
          0.222	 -0.174	  0.018
          0.224	 -0.176	  0.019
          0.226	 -0.174	  0.019
          0.228	 -0.173	  0.021
          0.230	 -0.174	  0.020
          0.232	 -0.173	  0.019
          0.234	 -0.174	  0.021
          0.236	 -0.175	  0.022
          0.238	 -0.175	  0.021
          0.240	 -0.176	  0.020
          0.242	 -0.177	  0.021
          0.244	 -0.177	  0.021
          0.246	 -0.175	  0.021
          0.248	 -0.173	  0.021
