  Elapsed time	      I	     II	    III	    aVR	    aVL	    aVF	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	  0.006	  0.007	  0.001	 -0.007	  0.003	  0.004	  0.001	  0.006	  0.011	  0.009	  0.003	  0.003
          0.002	  0.006	  0.007	  0.002	 -0.006	  0.003	  0.004	  0.001	  0.005	  0.011	  0.009	  0.003	  0.003
          0.004	  0.005	  0.006	  0.002	 -0.006	  0.003	  0.004	  0.001	  0.005	  0.010	  0.009	  0.003	  0.003
          0.006	  0.006	  0.006	  0.001	 -0.006	  0.003	  0.004	  0.001	  0.005	  0.010	  0.009	  0.003	  0.003
          0.008	  0.006	  0.006	  0.001	 -0.005	  0.003	  0.004	  0.001	  0.005	  0.010	  0.008	  0.003	  0.003
          0.010	  0.006	  0.006	  0.001	 -0.006	  0.003	  0.004	  0.001	  0.005	  0.009	  0.007	  0.003	  0.002
          0.012	  0.005	  0.006	  0.001	 -0.005	  0.003	  0.004	  0.001	  0.005	  0.009	  0.007	  0.002	  0.002
          0.014	  0.005	  0.006	  0.001	 -0.005	  0.003	  0.004	  0.001	  0.005	  0.009	  0.007	  0.002	  0.003
          0.016	  0.005	  0.006	  0.001	 -0.005	  0.002	  0.004	  0.001	  0.005	  0.009	  0.007	  0.002	  0.002
          0.018	  0.005	  0.006	  0.001	 -0.005	  0.003	  0.004	  0.001	  0.005	  0.009	  0.007	  0.003	  0.002
          0.020	  0.004	  0.006	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.005	  0.009	  0.007	  0.003	  0.002
          0.022	  0.004	  0.006	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.005	  0.009	  0.007	  0.003	  0.002
          0.024	  0.005	  0.005	  0.001	 -0.005	  0.002	  0.004	  0.001	  0.004	  0.008	  0.006	  0.002	  0.002
          0.026	  0.005	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.004	  0.009	  0.007	  0.002	  0.002
          0.028	  0.004	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.000	  0.004	  0.008	  0.006	  0.002	  0.002
          0.030	  0.004	  0.005	  0.001	 -0.005	  0.002	  0.004	  0.001	  0.004	  0.007	  0.006	  0.003	  0.002
          0.032	  0.004	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.034	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.036	  0.005	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.038	  0.005	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.040	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.042	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.044	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.046	  0.004	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.048	  0.004	  0.004	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.050	  0.004	  0.005	  0.001	 -0.005	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.052	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.054	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.056	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.000	  0.004	  0.007	  0.006	  0.002	  0.002
          0.058	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.006	  0.005	  0.002	  0.002
          0.060	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.005	  0.002	  0.002
          0.062	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.000	  0.004	  0.007	  0.006	  0.002	  0.002
          0.064	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.066	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.006	  0.002	  0.002
          0.068	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.007	  0.005	  0.002	  0.002
          0.070	  0.004	  0.005	  0.001	 -0.004	  0.002	  0.003	  0.001	  0.004	  0.006	  0.005	  0.002	  0.002
