   Elapsed time	      I	     II	    III	    aVR	    aVL	    aVF	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	  0.164	  1.131	  0.968	 -0.648	 -0.401	  1.050	 -0.054	 -0.178	 -0.145	 -0.258	 -0.801	 -0.649
          0.002	  0.172	  1.149	  0.977	 -0.660	 -0.403	  1.063	 -0.063	 -0.180	 -0.134	 -0.246	 -0.794	 -0.645
          0.004	  0.166	  1.161	  0.997	 -0.663	 -0.415	  1.079	 -0.071	 -0.188	 -0.127	 -0.238	 -0.789	 -0.637
          0.006	  0.169	  1.156	  0.989	 -0.662	 -0.409	  1.073	 -0.067	 -0.179	 -0.117	 -0.230	 -0.783	 -0.629
          0.008	  0.168	  1.155	  0.987	 -0.662	 -0.409	  1.071	 -0.073	 -0.172	 -0.112	 -0.222	 -0.778	 -0.623
          0.010	  0.169	  1.151	  0.984	 -0.660	 -0.407	  1.068	 -0.067	 -0.165	 -0.103	 -0.215	 -0.772	 -0.619
          0.012	  0.176	  1.153	  0.978	 -0.665	 -0.400	  1.065	 -0.067	 -0.160	 -0.092	 -0.208	 -0.770	 -0.615
          0.014	  0.175	  1.151	  0.976	 -0.664	 -0.401	  1.063	 -0.063	 -0.156	 -0.086	 -0.200	 -0.768	 -0.612
          0.016	  0.175	  1.163	  0.988	 -0.669	 -0.406	  1.075	 -0.075	 -0.167	 -0.088	 -0.202	 -0.766	 -0.616
          0.018	  0.182	  1.175	  0.994	 -0.679	 -0.406	  1.085	 -0.082	 -0.171	 -0.086	 -0.203	 -0.765	 -0.617
          0.020	  0.178	  1.185	  1.006	 -0.681	 -0.414	  1.095	 -0.091	 -0.178	 -0.088	 -0.205	 -0.770	 -0.618
          0.022	  0.182	  1.183	  1.002	 -0.683	 -0.410	  1.093	 -0.095	 -0.183	 -0.086	 -0.204	 -0.769	 -0.610
          0.024	  0.174	  1.187	  1.012	 -0.681	 -0.418	  1.099	 -0.097	 -0.188	 -0.087	 -0.208	 -0.773	 -0.612
          0.026	  0.175	  1.181	  1.006	 -0.678	 -0.415	  1.093	 -0.097	 -0.174	 -0.077	 -0.196	 -0.763	 -0.607
          0.028	  0.183	  1.180	  0.997	 -0.682	 -0.407	  1.089	 -0.086	 -0.172	 -0.071	 -0.190	 -0.754	 -0.601
          0.030	  0.181	  1.171	  0.990	 -0.676	 -0.404	  1.081	 -0.081	 -0.164	 -0.065	 -0.185	 -0.753	 -0.600
          0.032	  0.179	  1.179	  1.000	 -0.679	 -0.410	  1.090	 -0.077	 -0.159	 -0.058	 -0.180	 -0.748	 -0.596
          0.034	  0.182	  1.172	  0.989	 -0.678	 -0.404	  1.081	 -0.076	 -0.158	 -0.054	 -0.173	 -0.739	 -0.593
          0.036	  0.185	  1.186	  1.001	 -0.686	 -0.407	  1.095	 -0.086	 -0.161	 -0.053	 -0.172	 -0.736	 -0.591
          0.038	  0.180	  1.183	  1.004	 -0.682	 -0.411	  1.094	 -0.086	 -0.163	 -0.051	 -0.172	 -0.739	 -0.590
          0.040	  0.182	  1.198	  1.017	 -0.691	 -0.417	  1.109	 -0.098	 -0.169	 -0.053	 -0.177	 -0.742	 -0.597
          0.042	  0.193	  1.206	  1.014	 -0.699	 -0.411	  1.111	 -0.107	 -0.172	 -0.053	 -0.177	 -0.745	 -0.599
          0.044	  0.181	  1.202	  1.020	 -0.692	 -0.419	  1.111	 -0.103	 -0.170	 -0.051	 -0.177	 -0.746	 -0.600
          0.046	  0.192	  1.201	  1.010	 -0.697	 -0.409	  1.105	 -0.103	 -0.166	 -0.043	 -0.171	 -0.743	 -0.596
          0.048	  0.181	  1.196	  1.014	 -0.689	 -0.416	  1.105	 -0.096	 -0.154	 -0.035	 -0.166	 -0.741	 -0.591
