 Elapsed time	      I	     II	    III	    aVR	    aVL	    aVF	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
         20.000	  0.035	  0.030	 -0.004	 -0.033	  0.019	  0.013	 -0.043	  0.034	  0.086	  0.062	  0.029	  0.015
         20.002	  0.032	  0.040	  0.008	 -0.035	  0.011	  0.024	 -0.037	  0.051	  0.117	  0.088	  0.045	  0.023
         20.004	  0.022	  0.036	  0.013	 -0.029	  0.004	  0.025	 -0.022	  0.057	  0.118	  0.090	  0.048	  0.024
         20.006	  0.010	  0.027	  0.018	 -0.018	 -0.004	  0.022	 -0.004	  0.058	  0.108	  0.084	  0.044	  0.021
         20.008	  0.002	  0.022	  0.019	 -0.013	 -0.009	  0.021	  0.007	  0.060	  0.104	  0.080	  0.042	  0.020
         20.010	  0.001	  0.021	  0.021	 -0.011	 -0.011	  0.021	  0.012	  0.061	  0.105	  0.082	  0.043	  0.021
         20.012	 -0.001	  0.022	  0.022	 -0.011	 -0.011	  0.022	  0.013	  0.065	  0.110	  0.085	  0.045	  0.021
         20.014	 -0.001	  0.022	  0.023	 -0.011	 -0.012	  0.023	  0.013	  0.068	  0.115	  0.088	  0.047	  0.022
         20.016	 -0.001	  0.024	  0.024	 -0.011	 -0.012	  0.024	  0.014	  0.071	  0.120	  0.093	  0.049	  0.022
         20.018	 -0.001	  0.025	  0.025	 -0.012	 -0.013	  0.025	  0.015	  0.074	  0.126	  0.097	  0.051	  0.024
         20.020	 -0.001	  0.025	  0.025	 -0.013	 -0.013	  0.026	  0.015	  0.077	  0.131	  0.102	  0.053	  0.025
         20.022	 -0.001	  0.026	  0.027	 -0.013	 -0.013	  0.027	  0.017	  0.082	  0.138	  0.106	  0.056	  0.025
         20.024	  0.000	  0.028	  0.028	 -0.013	 -0.014	  0.028	  0.017	  0.085	  0.144	  0.111	  0.059	  0.026
         20.026	 -0.001	  0.029	  0.029	 -0.015	 -0.015	  0.029	  0.018	  0.089	  0.150	  0.116	  0.060	  0.028
         20.028	  0.000	  0.030	  0.030	 -0.015	 -0.015	  0.030	  0.018	  0.093	  0.158	  0.121	  0.064	  0.029
         20.030	  0.001	  0.031	  0.031	 -0.016	 -0.015	  0.032	  0.019	  0.098	  0.165	  0.127	  0.066	  0.030
         20.032	  0.001	  0.033	  0.032	 -0.017	 -0.015	  0.032	  0.020	  0.102	  0.172	  0.133	  0.069	  0.032
         20.034	  0.001	  0.034	  0.033	 -0.018	 -0.016	  0.034	  0.021	  0.107	  0.180	  0.139	  0.072	  0.033
         20.036	  0.002	  0.035	  0.034	 -0.018	 -0.016	  0.034	  0.022	  0.113	  0.189	  0.144	  0.075	  0.034
         20.038	  0.002	  0.036	  0.035	 -0.019	 -0.017	  0.035	  0.023	  0.118	  0.198	  0.151	  0.078	  0.035
         20.040	  0.002	  0.038	  0.035	 -0.020	 -0.017	  0.036	  0.024	  0.124	  0.207	  0.158	  0.081	  0.036
         20.042	  0.004	  0.040	  0.036	 -0.021	 -0.017	  0.037	  0.024	  0.130	  0.216	  0.165	  0.084	  0.038
         20.044	  0.004	  0.041	  0.037	 -0.022	 -0.017	  0.040	  0.024	  0.136	  0.226	  0.172	  0.088	  0.039
         20.046	  0.004	  0.043	  0.038	 -0.024	 -0.017	  0.040	  0.025	  0.141	  0.236	  0.179	  0.091	  0.041
         20.048	  0.006	  0.045	  0.038	 -0.025	 -0.017	  0.042	  0.025	  0.147	  0.247	  0.186	  0.095	  0.042
         20.050	  0.007	  0.047	  0.040	 -0.027	 -0.017	  0.043	  0.025	  0.154	  0.258	  0.195	  0.099	  0.044
         20.052	  0.009	  0.049	  0.041	 -0.029	 -0.015	  0.044	  0.024	  0.160	  0.269	  0.203	  0.103	  0.045
         20.054	  0.010	  0.051	  0.041	 -0.031	 -0.015	  0.046	  0.024	  0.167	  0.281	  0.211	  0.107	  0.048
         20.056	  0.012	  0.053	  0.042	 -0.033	 -0.015	  0.048	  0.022	  0.172	  0.292	  0.219	  0.111	  0.050
         20.058	  0.015	  0.057	  0.043	 -0.035	 -0.014	  0.050	  0.021	  0.179	  0.304	  0.228	  0.115	  0.051
         20.060	  0.016	  0.059	  0.043	 -0.037	 -0.013	  0.051	  0.019	  0.185	  0.316	  0.237	  0.119	  0.053
         20.062	  0.018	  0.063	  0.044	 -0.041	 -0.013	  0.053	  0.017	  0.192	  0.328	  0.246	  0.124	  0.056
         20.064	  0.021	  0.067	  0.045	 -0.043	 -0.012	  0.056	  0.015	  0.198	  0.341	  0.256	  0.129	  0.058
         20.066	  0.024	  0.070	  0.046	 -0.046	 -0.011	  0.058	  0.013	  0.204	  0.354	  0.266	  0.133	  0.060
         20.068	  0.026	  0.073	  0.048	 -0.050	 -0.011	  0.060	  0.011	  0.211	  0.368	  0.276	  0.139	  0.062
         20.070	  0.029	  0.077	  0.049	 -0.053	 -0.009	  0.062	  0.009	  0.218	  0.383	  0.286	  0.144	  0.066
         20.072	  0.031	  0.081	  0.050	 -0.056	 -0.009	  0.066	  0.006	  0.227	  0.398	  0.298	  0.149	  0.069
         20.074	  0.034	  0.085	  0.051	 -0.059	 -0.009	  0.069	  0.005	  0.235	  0.414	  0.310	  0.155	  0.071
         20.076	  0.036	  0.089	  0.053	 -0.062	 -0.009	  0.070	  0.004	  0.244	  0.432	  0.324	  0.163	  0.074
         20.078	  0.038	  0.093	  0.055	 -0.066	 -0.008	  0.074	  0.002	  0.255	  0.451	  0.338	  0.170	  0.077
         20.080	  0.041	  0.098	  0.057	 -0.070	 -0.008	  0.078	  0.001	  0.267	  0.472	  0.353	  0.177	  0.081
         20.082	  0.044	  0.102	  0.059	 -0.073	 -0.008	  0.081	  0.001	  0.279	  0.495	  0.370	  0.185	  0.085
         20.084	  0.046	  0.108	  0.062	 -0.077	 -0.007	  0.085	 -0.001	  0.292	  0.519	  0.389	  0.195	  0.088
         20.086	  0.050	  0.114	  0.064	 -0.082	 -0.006	  0.089	 -0.003	  0.306	  0.545	  0.408	  0.204	  0.093
         20.088	  0.054	  0.120	  0.066	 -0.087	 -0.006	  0.093	 -0.004	  0.322	  0.574	  0.428	  0.214	  0.098
         20.090	  0.059	  0.127	  0.069	 -0.093	 -0.004	  0.098	 -0.009	  0.337	  0.602	  0.450	  0.225	  0.103
         20.092	  0.065	  0.136	  0.070	 -0.101	 -0.003	  0.103	 -0.013	  0.352	  0.632	  0.472	  0.236	  0.108
         20.094	  0.072	  0.144	  0.072	 -0.108	  0.000	  0.108	 -0.021	  0.366	  0.662	  0.494	  0.247	  0.114
         20.096	  0.081	  0.154	  0.073	 -0.117	  0.004	  0.114	 -0.032	  0.379	  0.692	  0.516	  0.259	  0.119
         20.098	  0.091	  0.165	  0.073	 -0.128	  0.009	  0.119	 -0.044	  0.390	  0.720	  0.537	  0.269	  0.125
         20.100	  0.102	  0.176	  0.073	 -0.139	  0.014	  0.125	 -0.059	  0.398	  0.746	  0.556	  0.279	  0.130
         20.102	  0.114	  0.187	  0.073	 -0.150	  0.020	  0.130	 -0.076	  0.403	  0.766	  0.573	  0.287	  0.135
         20.104	  0.126	  0.198	  0.072	 -0.162	  0.026	  0.136	 -0.096	  0.405	  0.783	  0.586	  0.294	  0.140
         20.106	  0.138	  0.208	  0.070	 -0.173	  0.034	  0.140	 -0.116	  0.403	  0.794	  0.594	  0.299	  0.143
         20.108	  0.149	  0.217	  0.068	 -0.183	  0.041	  0.142	 -0.135	  0.396	  0.797	  0.597	  0.301	  0.146
         20.110	  0.160	  0.225	  0.065	 -0.192	  0.048	  0.145	 -0.154	  0.387	  0.794	  0.595	  0.301	  0.147
         20.112	  0.168	  0.230	  0.061	 -0.199	  0.052	  0.145	 -0.171	  0.372	  0.783	  0.588	  0.298	  0.147
         20.114	  0.173	  0.232	  0.059	 -0.203	  0.057	  0.145	 -0.185	  0.356	  0.763	  0.574	  0.292	  0.145
         20.116	  0.176	  0.232	  0.055	 -0.203	  0.060	  0.143	 -0.196	  0.336	  0.737	  0.554	  0.283	  0.142
         20.118	  0.176	  0.228	  0.051	 -0.202	  0.062	  0.139	 -0.202	  0.314	  0.703	  0.530	  0.272	  0.138
         20.120	  0.173	  0.221	  0.048	 -0.197	  0.063	  0.135	 -0.203	  0.291	  0.663	  0.501	  0.258	  0.133
         20.122	  0.167	  0.211	  0.044	 -0.189	  0.061	  0.128	 -0.200	  0.267	  0.619	  0.469	  0.242	  0.124
         20.124	  0.158	  0.199	  0.041	 -0.178	  0.059	  0.120	 -0.193	  0.242	  0.572	  0.434	  0.226	  0.117
         20.126	  0.147	  0.185	  0.038	 -0.166	  0.054	  0.112	 -0.181	  0.218	  0.522	  0.398	  0.206	  0.108
         20.128	  0.135	  0.170	  0.036	 -0.152	  0.050	  0.103	 -0.168	  0.197	  0.474	  0.360	  0.189	  0.099
         20.130	  0.120	  0.153	  0.033	 -0.137	  0.043	  0.093	 -0.151	  0.175	  0.425	  0.325	  0.171	  0.089
         20.132	  0.106	  0.137	  0.031	 -0.122	  0.037	  0.085	 -0.135	  0.157	  0.379	  0.290	  0.152	  0.081
         20.134	  0.092	  0.121	  0.029	 -0.107	  0.032	  0.075	 -0.117	  0.140	  0.336	  0.258	  0.136	  0.071
         20.136	  0.079	  0.106	  0.028	 -0.092	  0.026	  0.067	 -0.099	  0.124	  0.296	  0.228	  0.120	  0.063
         20.138	  0.067	  0.092	  0.025	 -0.080	  0.021	  0.059	 -0.083	  0.111	  0.262	  0.201	  0.106	  0.056
         20.140	  0.056	  0.080	  0.024	 -0.068	  0.015	  0.052	 -0.068	  0.100	  0.230	  0.177	  0.094	  0.049
         20.142	  0.045	  0.069	  0.022	 -0.057	  0.011	  0.045	 -0.053	  0.090	  0.203	  0.157	  0.083	  0.043
         20.144	  0.037	  0.059	  0.022	 -0.048	  0.008	  0.040	 -0.042	  0.083	  0.181	  0.140	  0.074	  0.038
         20.146	  0.030	  0.051	  0.020	 -0.041	  0.005	  0.036	 -0.033	  0.076	  0.163	  0.125	  0.066	  0.034
         20.148	  0.024	  0.043	  0.020	 -0.034	  0.003	  0.032	 -0.024	  0.071	  0.146	  0.113	  0.059	  0.030
         20.150	  0.019	  0.038	  0.018	 -0.029	  0.001	  0.029	 -0.017	  0.067	  0.134	  0.103	  0.054	  0.026
         20.152	  0.016	  0.034	  0.018	 -0.025	 -0.001	  0.025	 -0.012	  0.064	  0.124	  0.095	  0.050	  0.025
         20.154	  0.013	  0.029	  0.016	 -0.021	 -0.002	  0.023	 -0.008	  0.061	  0.116	  0.088	  0.046	  0.023
         20.156	  0.011	  0.027	  0.016	 -0.018	 -0.003	  0.021	 -0.004	  0.058	  0.110	  0.084	  0.043	  0.021
         20.158	  0.009	  0.025	  0.015	 -0.017	 -0.003	  0.020	 -0.003	  0.057	  0.104	  0.080	  0.041	  0.019
         20.160	  0.009	  0.022	  0.015	 -0.015	 -0.003	  0.018	 -0.001	  0.056	  0.100	  0.076	  0.039	  0.018
         20.162	  0.007	  0.021	  0.015	 -0.015	 -0.004	  0.018	  0.001	  0.054	  0.097	  0.073	  0.038	  0.018
         20.164	  0.007	  0.021	  0.014	 -0.013	 -0.004	  0.017	  0.001	  0.052	  0.094	  0.071	  0.036	  0.017
         20.166	  0.006	  0.019	  0.013	 -0.013	 -0.004	  0.017	  0.002	  0.052	  0.091	  0.070	  0.035	  0.017
         20.168	  0.005	  0.018	  0.013	 -0.012	 -0.004	  0.016	  0.003	  0.051	  0.090	  0.068	  0.035	  0.017
         20.170	  0.005	  0.018	  0.013	 -0.012	 -0.004	  0.016	  0.003	  0.050	  0.088	  0.067	  0.035	  0.016
         20.172	  0.005	  0.018	  0.013	 -0.012	 -0.004	  0.015	  0.003	  0.050	  0.087	  0.066	  0.034	  0.015
         20.174	  0.005	  0.018	  0.013	 -0.011	 -0.004	  0.015	  0.003	  0.049	  0.086	  0.066	  0.034	  0.015
         20.176	  0.005	  0.018	  0.013	 -0.011	 -0.004	  0.015	  0.003	  0.048	  0.086	  0.065	  0.033	  0.015
         20.178	  0.005	  0.018	  0.013	 -0.011	 -0.004	  0.015	  0.003	  0.048	  0.085	  0.065	  0.033	  0.015
         20.180	  0.005	  0.018	  0.013	 -0.012	 -0.004	  0.015	  0.003	  0.048	  0.084	  0.064	  0.033	  0.015
